,KUERZUNGEN,GDE_NAME,BETRIEBE_TOTAL,KUERZUNGEN_BETRAG_AVG,ABJ_KANTON,GDE_CLEAN
839,1.0,Rünenberg,12,4.25531914893617,BL,Rünenberg
840,0.0,Sissach,20,0.0,BL,Sissach
841,3.0,Tenniken,11,310.4121621621622,BL,Tenniken
842,5.0,Wenslingen,16,92.28571428571429,BL,Wenslingen
843,1.0,Wintersingen,14,4.166666666666667,BL,Wintersingen
844,1.0,Wittinsburg,8,6.451612903225806,BL,Wittinsburg
845,2.0,Zeglingen,25,5.0,BL,Zeglingen
846,1.0,Zunzgen,13,8.279787234042553,BL,Zunzgen
847,0.0,Arboldswil,8,0.0,BL,Arboldswil
848,6.0,Bennwil,19,22.383783783783784,BL,Bennwil
849,2.0,Bretzwil,22,40.50632911392405,BL,Bretzwil
850,1.0,Diegten,32,2.3551401869158877,BL,Diegten
851,3.0,Eptingen,31,63.05330188679245,BL,Eptingen
852,1.0,Hölstein,10,5.555555555555555,BL,Hölstein
853,8.0,Lampenberg,11,175.5975,BL,Lampenberg
854,10.0,Langenbruck,30,16.50943396226415,BL,Langenbruck
855,3.0,Lauwil,8,46.42857142857143,BL,Lauwil
856,0.0,Niederdorf,12,0.0,BL,Niederdorf
857,2.0,Oberdorf (BL),12,9.210526315789474,BL,Oberdorf
858,6.0,Reigoldswil,22,45.00845070422535,BL,Reigoldswil
859,4.0,Titterten,13,17.045454545454547,BL,Titterten
860,3.0,Waldenburg,13,13.953488372093023,BL,Waldenburg
861,4.0,Gächlingen,24,45.15,SH,Gächlingen
862,3.0,Löhningen,18,13.80952380952381,SH,Löhningen
863,3.0,Neunkirch,15,22.857142857142858,SH,Neunkirch
864,2.0,Büttenhardt,10,15.0,SH,Büttenhardt
865,6.0,Dörflingen,23,22.291666666666668,SH,Dörflingen
866,3.0,Stetten (SH),9,171.96428571428572,SH,Stetten
867,12.0,Thayngen,66,51.21809523809524,SH,Thayngen
868,2.0,Bargen (SH),8,33.303125,SH,Bargen
869,4.0,Beringen,24,24.435294117647057,SH,Beringen
870,1.0,Buchberg,16,3.278688524590164,SH,Buchberg
871,1.0,Merishausen,16,75.36842105263158,SH,Merishausen
872,1.0,Rüdlingen,14,3.9215686274509802,SH,Rüdlingen
873,3.0,Schaffhausen,23,7.5,SH,Schaffhausen
874,9.0,Beggingen,20,82.8970588235294,SH,Beggingen
875,11.0,Schleitheim,42,84.30405405405405,SH,Schleitheim
876,9.0,Siblingen,18,140.08771929824562,SH,Siblingen
877,3.0,Buch (SH),9,37.35294117647059,SH,Buch
878,2.0,Hemishofen,11,119.62162162162163,SH,Hemishofen
879,8.0,Ramsen,34,56.643478260869564,SH,Ramsen
880,1.0,Stein am Rhein,11,5.555555555555555,SH,Stein am Rhein
881,5.0,Hallau,33,90.46296296296296,SH,Hallau
882,9.0,Oberhallau,24,120.8586956521739,SH,Oberhallau
883,3.0,Trasadingen,19,59.88235294117647,SH,Trasadingen
884,5.0,Wilchingen,56,27.36813186813187,SH,Wilchingen
885,13.0,Büsingen (D),13,2778.072368421052,SH,Büsingen
886,27.0,Herisau,84,162.85016949152543,AR,Herisau
887,23.0,Hundwil,101,102.30291545189505,AR,Hundwil
888,3.0,Schönengrund,25,33.02469135802469,AR,Schönengrund
889,13.0,Schwellbrunn,71,85.57403100775193,AR,Schwellbrunn
890,13.0,Stein (AR),38,172.07054794520548,AR,Stein
891,37.0,Urnäsch,169,57.94463087248322,AR,Urnäsch
892,6.0,Waldstatt,27,60.685436893203885,AR,Waldstatt
893,10.0,Bühler,23,120.9559210526316,AR,Bühler
894,26.0,Gais,45,217.2552325581395,AR,Gais
895,4.0,Speicher,27,14.71111111111111,AR,Speicher
896,19.0,Teufen (AR),46,128.76550632911392,AR,Teufen
897,5.0,Trogen,27,136.70824742268042,AR,Trogen
898,10.0,Grub (AR),17,214.2140350877193,AR,Grub
899,8.0,Heiden,30,72.91176470588235,AR,Heiden
